FileName,MatchLevel,Team,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,TeamAScore,TeamBScore,WinningTeam,TotalRallies,AvgShotsPerRally,TeamARalliesWon,TeamBRalliesWon,RallyPct_2ShotsOrLess,RallyPct_3to5Shots,RallyPct_6to12Shots,RallyPct_13PlusShots,TeamA_Unreturned,TeamA_Assists,TeamA_Errors,TeamA_TotalShots,TeamB_Unreturned,TeamB_Assists,TeamB_Errors,TeamB_TotalShots,Player1_Unreturned,Player1_Assists,Player1_Errors,Player1_TotalShots,Player2_Unreturned,Player2_Assists,Player2_Errors,Player2_TotalShots,Player3_Unreturned,Player3_Assists,Player3_Errors,Player3_TotalShots,Player4_Unreturned,Player4_Assists,Player4_Errors,Player4_TotalShots,ShotType_TransitionZone_Freq,ShotType_TransitionZone_Err%,ShotType_Dink_Freq,ShotType_Dink_Err%,ShotType_Serve_Freq,ShotType_Serve_Err%,ShotType_Return_Freq,ShotType_Return_Err%,ShotType_HandBattle_Freq,ShotType_HandBattle_Err%,ShotType_3rdShotDrop_Freq,ShotType_3rdShotDrop_Err%,ShotType_3rdShotDrive_Freq,ShotType_3rdShotDrive_Err%,ShotType_Lob_Freq,ShotType_Lob_Err%,ShotType_SpeedUp_Freq,ShotType_SpeedUp_Err%,ShotType_Reset_Freq,ShotType_Reset_Err%,Player1_3rdShot_Err%,Player1_3rdShot_Win%,Player1_3rdShot_OppError%,Player1_3rdShot_LedToDinks%,Player2_3rdShot_Err%,Player2_3rdShot_Win%,Player2_3rdShot_OppError%,Player2_3rdShot_LedToDinks%,Player3_3rdShot_Err%,Player3_3rdShot_Win%,Player3_3rdShot_OppError%,Player3_3rdShot_LedToDinks%,Player4_3rdShot_Err%,Player4_3rdShot_Win%,Player4_3rdShot_OppError%,Player4_3rdShot_LedToDinks%,Player1_Dinks,Player1_DinkErrors,Player1_DinkError%,Player2_Dinks,Player2_DinkErrors,Player2_DinkError%,Player3_Dinks,Player3_DinkErrors,Player3_DinkError%,Player4_Dinks,Player4_DinkErrors,Player4_DinkError%,Player1_StraightDinks,Player1_Straight%,Player1_AcrossDinks,Player1_Across%,Player1_SharpAcrossDinks,Player1_SharpAcross%,Player2_StraightDinks,Player2_Straight%,Player2_AcrossDinks,Player2_Across%,Player2_SharpAcrossDinks,Player2_SharpAcross%,Player3_StraightDinks,Player3_Straight%,Player3_AcrossDinks,Player3_Across%,Player3_SharpAcrossDinks,Player3_SharpAcross%,Player4_StraightDinks,Player4_Straight%,Player4_AcrossDinks,Player4_Across%,Player4_SharpAcrossDinks,Player4_SharpAcross%,TeamA_Shots,TeamA_Errors.1,TeamA_Error%,TeamA_UnforcedErrors,TeamA_UnforcedError%,TeamB_Shots,TeamB_Errors.1,TeamB_Error%,TeamB_UnforcedErrors,TeamB_UnforcedError%,Player1_Shots,Player1_Errors.1,Player1_Error%,Player1_UnforcedErrors,Player1_UnforcedError%,Player2_Shots,Player2_Errors.1,Player2_Error%,Player2_UnforcedErrors,Player2_UnforcedError%,Player3_Shots,Player3_Errors.1,Player3_Error%,Player3_UnforcedErrors,Player3_UnforcedError%,Player4_Shots,Player4_Errors.1,Player4_Error%,Player4_UnforcedErrors,Player4_UnforcedError%,TeamAPlayer1_DUPR,TeamAPlayer2_DUPR,TeamBPlayer1_DUPR,TeamBPlayer2_DUPR
M9.html,5.0,Chrissy Penfold & Eli Powell vs Monica Linn & Bill Kacergis,Chrissy Penfold,Eli Powell,Monica Linn,Bill Kacergis,15,12,TeamA,66,7.0,35.0,31.0,6.0600000000000005,43.94,36.36,13.64,21.0,4.0,15.0,228.0,15.0,3.0,14.0,231.0,4.0,2.0,8.0,94.0,17.0,2.0,7.0,134.0,5.0,1.0,3.0,102.0,10.0,2.0,11.0,129.0,117,3.42,85,3.53,66,1.52,64,3.12,39,5.13,39,17.95,21,28.57,6,0.0,4,25.0,3,0.0,24.99833333333333,41.66666666666666,16.665,16.666666666666668,15.789473684210526,42.10526315789474,5.2631578947368425,15.789473684210526,0.0,42.85857142857143,14.285714285714286,14.284285714285714,29.164166666666663,33.335,12.503333333333332,29.164166666666663,27.0,2.0,7.4,14.0,1.0,7.1,31.0,0.0,0.0,12.0,0.0,0.0,2.0,8.333333333333334,9.0,37.5,13.0,54.16666666666666,9.0,69.23076923076923,2.0,15.384615384615383,2.0,15.384615384615383,8.0,25.806451612903224,13.0,41.935483870967744,10.0,32.25806451612903,7.0,58.333333333333336,3.0,25.0,2.0,16.666666666666668,228.0,15.0,6.578947368421052,15.0,6.578947368421052,231.0,14.0,6.0606060606060606,14.0,6.0606060606060606,94.0,8.0,8.51063829787234,8.0,8.51063829787234,134.0,7.0,5.223880597014926,7.0,5.223880597014926,102.0,3.0,2.9411764705882355,3.0,2.9411764705882355,129.0,11.0,8.527131782945736,11.0,8.527131782945736,4.505,5.273,5.376,5.872
M13.html,Pro,Lea Jansen & Catherine Parenteau vs Lauren Stratman & Irina Tereschenko,Lea Jansen,Catherine Parenteau,Lauren Stratman,Irina Tereschenko,11,7,TeamA,31,11.8,18.0,13.0,3.2300000000000004,29.03,41.94,25.81,7.0,1.0,4.0,179.0,7.0,3.0,10.0,183.0,0.0,1.0,4.0,44.0,7.0,0.0,,135.0,6.0,1.0,6.0,103.0,1.0,2.0,4.0,80.0,71,5.63,117,4.2700000000000005,31,3.2300000000000004,30,0.0,36,0.0,18,0.0,12,16.669999999999998,2,0.0,19,15.79,11,0.0,0.0,66.67,33.33,66.67,0.0,69.23384615384614,7.6923076923076925,53.84307692307693,25.0,50.0,50.0,25.0,12.5,37.50125,0.0,50.00125,15.0,0.0,0.0,37.0,0.0,0.0,34.0,3.0,8.8,30.0,1.0,3.3,2.0,13.333333333333334,10.0,66.66666666666667,3.0,20.0,13.0,35.13513513513514,13.0,35.13513513513514,11.0,29.72972972972973,6.0,19.35483870967742,17.0,54.83870967741935,8.0,25.806451612903224,5.0,17.24137931034483,13.0,44.82758620689656,11.0,37.93103448275862,179.0,4.0,2.23463687150838,4.0,2.23463687150838,183.0,10.0,5.46448087431694,10.0,5.46448087431694,44.0,4.0,9.090909090909092,4.0,9.090909090909092,135.0,,0.0,,0.0,103.0,6.0,5.825242718446602,6.0,5.825242718446602,80.0,4.0,5.0,4.0,5.0,5.893,6.188,5.674,5.616
M14.html,Pro,Jesse Irvine & Lucy Kovalova vs Irina Tereschenko & Catherine Parenteau,Jesse Irvine,Lucy Kovalova,Irina Tereschenko,Catherine Parenteau,17,12,TeamA,67,10.6,36.0,31.0,5.970000000000001,26.87,35.82,31.34,37.0,18.0,9.0,358.0,29.0,14.0,12.0,353.0,22.0,10.0,4.0,200.0,15.0,8.0,5.0,158.0,14.0,8.0,7.0,179.0,15.0,6.0,5.0,174.0,252,2.0,157,1.9,67,1.5,66,4.6,53,3.8,34,8.8,29,10.3,0,0.0,35,2.9,6,0.0,7.142142857142858,28.57,7.142857142857143,42.85428571428572,5.261578947368421,52.63,10.525263157894736,31.57894736842105,23.528823529411763,29.41058823529412,11.763529411764706,41.17411764705883,7.6923076923076925,53.84538461538462,7.691538461538461,46.15307692307693,44.0,0.0,0.0,36.0,2.0,5.6,33.0,1.0,3.0,43.0,0.0,0.0,15.0,34.09090909090909,29.0,65.9090909090909,,0.0,6.0,16.666666666666668,30.0,83.33333333333333,,0.0,8.0,24.24242424242424,25.0,75.75757575757575,,0.0,14.0,32.55813953488372,29.0,67.44186046511628,,0.0,358.0,9.0,2.5139664804469275,9.0,2.5139664804469275,353.0,12.0,3.39943342776204,12.0,3.39943342776204,200.0,4.0,2.0,4.0,2.0,158.0,5.0,3.1645569620253164,5.0,3.1645569620253164,179.0,7.0,3.910614525139665,7.0,3.910614525139665,174.0,5.0,2.8735632183908044,5.0,2.8735632183908044,5.932,5.659,5.616,6.188
M15.html,Pro,Jimbo Peterson & David McNally vs Ross Whittaker & Grant Johnston,Jimbo Peterson,David McNally,Ross Whittaker,Grant Johnston,29,20,TeamA,128,7.0,69.0,59.0,9.38,33.59,48.44,8.59,68.0,25.0,32.0,449.0,57.0,19.0,41.0,443.0,30.0,14.0,12.0,189.0,38.0,11.0,20.0,260.0,16.0,13.0,15.0,154.0,41.0,6.0,26.0,289.0,274,3.7,112,4.5,128,2.3,125,7.2,71,15.5,57,12.3,59,15.3,3,0.0,24,29.2,26,46.2,0.0,38.46076923076923,3.844615384615385,34.61615384615384,8.82,38.23176470588235,0.0,11.761764705882351,23.81142857142857,28.57190476190476,4.76047619047619,28.570476190476192,22.85257142857143,31.42714285714285,2.8600000000000003,22.85771428571428,21.0,1.0,4.8,30.0,1.0,3.3,15.0,2.0,13.3,46.0,1.0,2.2,8.0,38.095238095238095,13.0,61.90476190476191,,0.0,13.0,43.333333333333336,17.0,56.66666666666666,,0.0,5.0,33.333333333333336,10.0,66.66666666666667,,0.0,12.0,26.08695652173913,34.0,73.91304347826087,,0.0,449.0,32.0,7.12694877505568,32.0,7.12694877505568,443.0,41.0,9.255079006772007,41.0,9.255079006772007,189.0,12.0,6.349206349206349,12.0,6.349206349206349,260.0,20.0,7.6923076923076925,20.0,7.6923076923076925,154.0,15.0,9.74025974025974,15.0,9.74025974025974,289.0,26.0,8.996539792387543,26.0,8.996539792387543,4.721,4.955,5.825,3.486
M16.html,5.0,Monica Linn & Bill Kacergis vs David McNally & Harsh Pareek,Monica Linn,Bill Kacergis,David McNally,Harsh Pareek,15,4,TeamA,64,8.7,38.0,26.0,4.69,35.94,35.94,23.44,37.0,6.0,14.0,285.0,27.0,7.0,9.0,273.0,6.0,5.0,3.0,88.0,31.0,1.0,11.0,197.0,11.0,5.0,6.0,135.0,16.0,2.0,3.0,138.0,161,0.6,137,5.1,64,0.0,64,3.1,54,7.4,38,21.1,22,0.0,4,25.0,5,0.0,0,0.0,10.003,19.999,10.003,40.001,23.07692307692308,46.15384615384615,0.0,53.846153846153854,12.5,12.5,12.5,50.0,5.882352941176471,11.764705882352942,0.0,29.411176470588234,25.0,2.0,8.0,38.0,2.0,5.3,36.0,1.0,2.8,38.0,2.0,5.3,6.0,24.0,19.0,76.0,,0.0,10.0,26.31578947368421,28.0,73.6842105263158,,0.0,16.0,44.44444444444444,20.0,55.55555555555556,,0.0,17.0,44.73684210526316,21.0,55.26315789473684,,0.0,284.0,14.0,4.929577464788732,14.0,4.929577464788732,273.0,9.0,3.2967032967032965,9.0,3.2967032967032965,88.0,3.0,3.409090909090909,3.0,3.409090909090909,196.0,11.0,5.612244897959184,11.0,5.612244897959184,135.0,6.0,4.444444444444445,6.0,4.444444444444445,138.0,3.0,2.1739130434782608,3.0,2.1739130434782608,5.376,5.872,4.955,4.893
M17.html,Pro,Chris Mills Miller & John Sperling vs Paul Olin & Dave Fleming,Chris Mills Miller,John Sperling,Paul Olin,Dave Fleming,22,15,TeamA,82,10.5,45.0,37.0,2.44,21.95,47.56,28.050000000000004,47.0,16.0,9.0,429.0,35.0,7.0,17.0,428.0,33.0,6.0,5.0,224.0,14.0,10.0,4.0,205.0,15.0,3.0,7.0,196.0,20.0,4.0,10.0,232.0,190,2.6,284,2.5,82,0.0,82,2.4,81,0.0,60,8.3,20,20.0,5,0.0,37,10.8,2,0.0,10.530526315789473,42.10105263157895,10.525263157894738,42.10105263157895,8.3375,54.16583333333333,4.170833333333333,62.49833333333333,13.333333333333334,33.333333333333336,6.666666666666667,46.66666666666666,13.638181818181817,40.91090909090909,4.543636363636364,40.907272727272726,45.0,0.0,0.0,88.0,1.0,1.1,72.0,2.0,2.8,74.0,3.0,4.1,16.0,35.55555555555556,29.0,64.44444444444444,,0.0,17.0,19.318181818181817,71.0,80.68181818181819,,0.0,13.0,18.05555555555556,59.0,81.94444444444444,,0.0,12.0,16.216216216216218,62.0,83.78378378378379,,0.0,429.0,9.0,2.097902097902098,9.0,2.097902097902098,428.0,17.0,3.97196261682243,17.0,3.97196261682243,224.0,5.0,2.232142857142857,5.0,2.232142857142857,205.0,4.0,1.951219512195122,4.0,1.951219512195122,196.0,7.0,3.571428571428572,7.0,3.571428571428572,232.0,10.0,4.310344827586207,10.0,4.310344827586207,5.365,5.48,5.519,5.248
M18.html,5.0,Jimbo Peterson & Joel Phillips vs Monica Linn & Bill Kacergis,Jimbo Peterson,Joel Phillips,Monica Linn,Bill Kacergis,11,8,TeamA,49,7.6,26.0,23.0,0.0,40.82,46.94,12.24,29.0,14.0,5.0,184.0,20.0,6.0,6.0,188.0,12.0,10.0,2.0,92.0,17.0,4.0,3.0,92.0,4.0,5.0,2.0,55.0,16.0,1.0,4.0,133.0,99,3.0,74,2.7,49,0.0,49,0.0,34,0.0,32,6.3,17,23.5,1,0.0,11,0.0,3,0.0,16.666666666666668,50.00083333333333,8.335833333333333,16.665833333333335,14.284285714285714,35.712857142857146,14.287142857142856,21.43,12.502499999999998,12.502499999999998,12.502499999999998,49.9975,6.666,46.66333333333333,6.666,19.998,22.0,0.0,0.0,12.0,0.0,0.0,18.0,1.0,5.6,20.0,1.0,5.0,2.0,9.090909090909092,20.0,90.9090909090909,,0.0,3.0,25.0,9.0,75.0,,0.0,2.0,11.11111111111111,16.0,88.88888888888889,,0.0,6.0,30.0,14.0,70.0,,0.0,184.0,5.0,2.717391304347826,5.0,2.717391304347826,188.0,6.0,3.191489361702128,6.0,3.191489361702128,92.0,2.0,2.1739130434782608,2.0,2.1739130434782608,92.0,3.0,3.260869565217391,3.0,3.260869565217391,55.0,2.0,3.636363636363636,2.0,3.636363636363636,133.0,4.0,3.007518796992481,4.0,3.007518796992481,4.721,5.068,5.376,5.872
M19.html,4.5,Chandra Soucek & Katherine Gillis vs Sara Maher & Emer Daly,Chandra Soucek,Katherine Gillis,Sara Maher,Emer Daly,11,8,TeamA,55,7.8,29.0,26.0,3.64,41.82,40.0,14.55,29.0,10.0,16.0,218.0,25.0,10.0,11.0,211.0,21.0,5.0,10.0,132.0,8.0,5.0,6.0,86.0,11.0,5.0,4.0,92.0,14.0,5.0,7.0,119.0,144,1.4,58,10.3,55,1.8,54,1.9,29,10.3,32,3.1,19,21.1,8,12.5,18,27.8,4,75.0,11.764705882352942,58.8235294117647,5.882352941176471,23.529411764705884,18.18,9.092727272727272,0.0,18.183636363636364,0.0,29.997,9.999,29.997,6.666,26.664666666666665,0.0,19.998,23.0,2.0,8.7,8.0,0.0,0.0,12.0,2.0,16.7,15.0,2.0,13.3,8.0,34.78260869565217,15.0,65.21739130434783,,0.0,1.0,12.5,7.0,87.5,,0.0,2.0,16.666666666666668,10.0,83.33333333333333,,0.0,5.0,33.333333333333336,10.0,66.66666666666667,,0.0,216.0,16.0,7.407407407407407,16.0,7.407407407407407,211.0,11.0,5.213270142180095,11.0,5.213270142180095,131.0,10.0,7.633587786259542,10.0,7.633587786259542,85.0,6.0,7.0588235294117645,6.0,7.0588235294117645,92.0,4.0,4.3478260869565215,4.0,4.3478260869565215,119.0,7.0,5.882352941176471,7.0,5.882352941176471,4.94,5.22,5.186,4.941
M20.html,Pro,Vivienne David & Lauren Stratman vs Monica Paolicelli & Alix Truong,Vivienne David,Lauren Stratman,Monica Paolicelli,Alix Truong,22,7,TeamA,71,9.1,43.0,28.0,5.63,25.35,49.3,19.72,42.0,14.0,13.0,325.0,27.0,10.0,6.0,322.0,12.0,8.0,2.0,105.0,30.0,6.0,11.0,220.0,13.0,7.0,2.0,137.0,14.0,3.0,4.0,185.0,193,3.1,121,3.3,71,2.8,69,2.9,73,1.4,32,6.3,35,5.7,11,0.0,26,0.0,8,12.5,0.0,76.92307692307692,7.6923076923076925,46.15461538461538,14.817407407407408,40.74407407407408,11.111481481481482,33.334074074074074,0.0,16.665,0.0,58.336666666666666,0.0,26.666666666666668,6.666666666666667,26.666666666666668,16.0,0.0,0.0,36.0,1.0,2.8,25.0,1.0,4.0,39.0,1.0,2.6,4.0,25.0,12.0,75.0,,0.0,2.0,5.555555555555555,34.0,94.44444444444444,,0.0,15.0,60.0,10.0,40.0,,0.0,10.0,25.64102564102564,29.0,74.35897435897436,,0.0,325.0,13.0,4.0,13.0,4.0,322.0,6.0,1.8633540372670807,6.0,1.8633540372670807,105.0,2.0,1.9047619047619049,2.0,1.9047619047619049,220.0,11.0,5.0,11.0,5.0,137.0,2.0,1.45985401459854,2.0,1.45985401459854,185.0,4.0,2.1621621621621623,4.0,2.1621621621621623,5.84,5.674,5.115,5.817
M21.html,4.5,Mark Cunningham & Carter Wittendorf vs Jon Smet & Alex Spancake,Mark Cunningham,Carter Wittendorf,Jon Smet,Alex Spancake,15,9,TeamA,62,7.1,34.0,28.0,4.84,29.03,53.23,8.06,31.0,13.0,17.0,211.0,27.0,12.0,23.0,209.0,10.0,8.0,12.0,112.0,21.0,5.0,5.0,99.0,9.0,7.0,8.0,84.0,18.0,5.0,15.0,125.0,72,4.2,100,11.0,60,1.7,59,5.1,58,25.9,32,9.4,22,13.6,4,0.0,4,25.0,0,0.0,22.22222222222222,27.77777777777778,0.0,33.333333333333336,8.333333333333334,58.333333333333336,25.0,41.66666666666666,0.0,20.0,0.0,80.0,4.76047619047619,33.33285714285714,0.0,66.66857142857143,34.0,3.0,8.8,15.0,1.0,6.7,23.0,0.0,0.0,28.0,7.0,25.0,7.0,20.58823529411765,27.0,79.41176470588235,,0.0,7.0,46.66666666666666,8.0,53.333333333333336,,0.0,8.0,34.78260869565217,15.0,65.21739130434783,,0.0,6.0,21.428571428571427,22.0,78.57142857142857,,0.0,211.0,17.0,8.056872037914692,13.0,6.161137440758294,207.0,23.0,11.11111111111111,6.0,2.898550724637681,112.0,12.0,10.714285714285714,10.0,8.928571428571429,99.0,5.0,5.05050505050505,3.0,3.0303030303030303,84.0,8.0,9.523809523809524,2.0,2.380952380952381,123.0,15.0,12.195121951219512,4.0,3.252032520325203,5.036,5.32,4.847,5.008
